Canton,ob_mean,ob_q2.5,ob_q50,ob_q97.5,sb_mean,sb_q2.5,sb_q50,sb_q97.5
SANTA CRUZ,0.14333704390487714,0.1412766560667116,0.14335573171751081,0.14540250553288547,0.19022152055086247,0.18762212988406643,0.19022068384396232,0.19290442226773677
SANTO DOMINGO,0.15720009846690447,0.15501267979882025,0.15720012038766956,0.1593805068042111,0.21487127506743917,0.21238900203929137,0.21485703734813427,0.21730214972373402
SARAPIQUI,0.12051237422367157,0.11873782642568484,0.12051612936441047,0.12232796312507593,0.1808852187529344,0.17846688568859387,0.18088694971364272,0.18333433041300323
SARCHI,0.14646807001653867,0.14443569751332594,0.14646521422870062,0.14851245741125713,0.19618552621946148,0.1934857771695953,0.19619754668110284,0.19892654378804348
SIQUIRRES,0.12822137627317534,0.126764315306064,0.12822464761395186,0.12967531019315534,0.18880443635616212,0.18707328871701406,0.1888012983651038,0.19052664109340645
TALAMANCA,0.101169475670584,0.09779380488994506,0.10115411389464996,0.10460074210503159,0.17761701450700076,0.17412930801617593,0.17761080631950277,0.18114265293337176
TARRAZU,0.1306659648535552,0.12910607223832013,0.13067771887132068,0.13226485755755757,0.1945753081078732,0.1927599325470371,0.19458621239448143,0.19642347523384585
TIBAS,0.15626254637350406,0.15416127256636794,0.15626129224313742,0.15836769824623947,0.2075181737856633,0.20509270738745727,0.20750750281732805,0.20992694650373878
TILARAN,0.1405491537510766,0.1388975724739773,0.14054622655604213,0.14222942816853434,0.19842893458151578,0.19663072381707059,0.19844162987108505,0.200156739299395
TURRIALBA,0.1385812920294324,0.13685099099418002,0.13856910357335153,0.14033446892398824,0.19674348505720157,0.19500695592533548,0.196749112327431,0.19847429479025158
TURRUBARES,0.14667130521329727,0.142800756578664,0.14665186160184085,0.15069539810585303,0.17947892401232562,0.17489524686054495,0.1794462607468018,0.18436852526196013
UPALA,0.11775722882642714,0.11572006268845128,0.11775709048438723,0.119848486761809,0.1858572356874237,0.18321167542659017,0.1858632771106123,0.18850228911614797
VAZQUEZ DE CORONADO,0.15645335061790758,0.15469738415053993,0.15645626243691657,0.1581856658425602,0.21150950607443966,0.20951288999986767,0.21151323835407304,0.2134345056290999
ZARCERO,0.1419840787043511,0.13856517117947653,0.14199723390095975,0.14540420840801394,0.21224037654941316,0.2082784869082404,0.21223769302262824,0.2163061194488254
PAIS,0.14142811086399226,0.14025121718164685,0.14143174561374766,0.14257798813899986,0.19847081636266722,0.19707851838815535,0.19847674499328877,0.19977899096453686
